user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
1,15/04/2023,Premium,699,1.1,4,1,8,14,Yes
2,27/08/2023,Premium,699,2.6,6,0,35,1,Yes
3,12/10/2023,Premium,699,14.3,8,3,2,14,Yes
4,11/12/2023,Basic,199,17.6,5,2,11,9,Yes
5,14/02/2023,Basic,199,9.8,5,2,6,38,Yes
6,05/10/2024,Premium,699,13.6,6,0,30,35,Yes
7,24/10/2023,Premium,699,14.6,1,0,24,42,Yes
8,09/01/2024,Basic,199,21.7,6,2,15,29,Yes
9,15/03/2023,Basic,199,9.2,4,5,24,59,Yes
10,17/10/2024,Premium,699,13.6,3,1,11,29,No
11,20/11/2023,Premium,699,5.9,5,0,36,14,No
12,20/10/2024,Standard,399,2.1,5,1,18,41,Yes
13,21/08/2024,Standard,399,7,3,5,10,35,Yes
14,18/02/2023,Standard,399,9.4,2,4,26,31,Yes
15,02/09/2024,Basic,199,15.9,6,4,10,4,Yes
16,29/11/2024,Standard,399,6.7,8,0,34,43,No
17,09/04/2024,Premium,699,19.3,5,0,18,18,No
18,02/10/2024,Basic,199,24.3,2,4,17,58,Yes
19,27/06/2024,Standard,399,15.4,2,2,33,48,Yes
20,11/11/2023,Basic,199,12.5,1,2,21,56,No
21,12/03/2023,Basic,199,6.4,1,0,4,46,No
22,13/09/2024,Premium,699,3.6,7,4,9,10,Yes
23,18/11/2024,Standard,399,23.3,3,5,14,19,No
24,07/03/2023,Premium,699,11.2,8,3,24,7,Yes
25,25/12/2024,Standard,399,14.9,3,4,2,14,Yes
26,13/10/2023,Premium,699,6.1,0,2,4,4,No
27,13/08/2024,Premium,699,5.7,2,5,32,59,No
28,17/03/2024,Standard,399,19.7,6,1,16,6,Yes
29,11/04/2023,Standard,399,10.6,0,5,28,41,No
30,04/04/2024,Basic,199,18.3,1,1,26,12,No
31,29/03/2024,Basic,199,5,7,1,28,55,No
32,31/08/2023,Premium,699,1.7,8,0,7,5,No
33,24/01/2024,Basic,199,12.4,3,3,27,57,Yes
34,23/07/2024,Basic,199,7,7,2,25,27,Yes
35,09/07/2024,Premium,699,4.3,4,1,32,3,No
36,11/06/2023,Basic,199,1.9,7,4,21,58,Yes
37,29/08/2023,Basic,199,2.5,2,0,33,38,Yes
38,25/03/2023,Standard,399,23.6,3,4,8,38,Yes
39,02/09/2023,Standard,399,8.3,4,1,34,42,No
40,16/03/2023,Standard,399,3.7,4,3,26,20,No
41,29/09/2023,Basic,199,15.7,1,0,30,34,Yes
42,10/07/2024,Basic,199,22.1,3,2,23,18,Yes
43,03/11/2023,Premium,699,15.5,8,0,20,42,No
44,20/07/2024,Premium,699,23.5,2,2,7,7,No
45,11/10/2024,Basic,199,7.4,3,5,18,21,Yes
46,11/10/2023,Standard,399,12.5,0,0,33,40,No
47,28/03/2024,Basic,199,8.7,2,5,1,16,Yes
48,02/06/2023,Premium,699,14.2,1,0,28,60,No
49,12/11/2023,Premium,699,20.9,8,1,3,27,Yes
50,29/12/2023,Standard,399,22.5,3,5,3,15,No
51,01/07/2023,Premium,699,24.4,2,1,27,55,Yes
52,12/09/2023,Standard,399,4.9,5,3,2,51,Yes
53,26/04/2024,Standard,399,19.8,1,3,11,55,Yes
54,22/08/2023,Basic,199,20.5,7,2,13,19,No
55,13/10/2023,Basic,199,16.7,6,2,2,17,No
56,25/09/2023,Standard,399,10.3,8,2,33,60,Yes
57,22/03/2024,Basic,199,1.4,6,2,17,46,Yes
58,02/01/2023,Premium,699,3.3,3,2,33,2,No
59,11/11/2024,Premium,699,17.3,3,2,35,27,Yes
60,13/11/2023,Standard,399,16.8,1,5,21,57,Yes
61,11/11/2024,Premium,699,8.5,4,4,27,8,Yes
62,08/11/2023,Standard,399,15.6,4,3,12,35,No
63,07/08/2023,Standard,399,11,5,3,14,28,Yes
64,10/11/2024,Premium,699,19.9,2,5,31,5,Yes
65,23/07/2023,Premium,699,2.8,3,5,22,19,Yes
66,11/04/2024,Basic,199,1.6,7,4,2,54,Yes
67,02/11/2024,Standard,399,18.1,6,3,13,25,Yes
68,13/12/2024,Premium,699,22.4,1,3,1,14,Yes
69,20/04/2024,Premium,699,1.7,3,0,30,29,Yes
70,31/05/2024,Premium,699,24.7,5,3,34,39,No
71,23/09/2023,Standard,399,11.4,2,5,36,55,Yes
72,26/03/2024,Basic,199,19.3,8,3,18,40,Yes
73,22/05/2023,Basic,199,6.2,5,2,19,57,Yes
74,22/02/2024,Basic,199,9.9,2,5,15,13,Yes
75,21/08/2024,Standard,399,11.9,0,1,35,53,No
76,02/11/2023,Premium,699,21.5,6,3,2,0,No
77,13/08/2023,Standard,399,13.7,8,4,27,57,Yes
78,19/02/2024,Standard,399,12.4,6,2,28,42,Yes
79,08/02/2024,Premium,699,21.1,2,4,11,34,Yes
80,21/02/2023,Premium,699,2.6,6,1,2,55,Yes
81,24/01/2024,Standard,399,8.5,7,2,25,21,No
82,23/02/2023,Standard,399,6.7,1,3,27,1,No
83,21/01/2023,Standard,399,16.4,0,0,15,60,Yes
84,12/08/2023,Premium,699,6.3,7,5,10,7,No
85,28/04/2023,Standard,399,19.3,2,4,17,38,No
86,20/01/2024,Basic,199,3.1,0,2,20,36,Yes
87,01/12/2024,Standard,399,2.4,3,0,13,44,No
88,15/01/2024,Premium,699,20,0,2,8,34,Yes
89,19/03/2024,Basic,199,16.4,0,3,33,52,Yes
90,28/10/2024,Standard,399,17.8,6,1,30,46,No
91,02/10/2023,Standard,399,19.5,7,3,35,52,Yes
92,20/04/2024,Standard,399,20.9,1,2,16,56,Yes
93,30/12/2023,Premium,699,8.7,7,2,25,11,Yes
94,15/07/2023,Standard,399,7.4,4,4,22,0,No
95,02/05/2024,Basic,199,18.1,7,4,16,48,Yes
96,09/12/2024,Premium,699,11.5,0,0,32,18,No
97,11/03/2024,Basic,199,16.8,5,3,20,35,Yes
98,04/05/2023,Premium,699,8.6,7,2,36,19,Yes
99,10/05/2024,Premium,699,8.2,8,5,13,11,Yes
100,03/07/2023,Standard,399,15.1,1,1,34,18,No
101,20/07/2024,Standard,399,17.8,2,2,1,2,No
102,19/10/2023,Standard,399,16.1,7,0,9,55,Yes
103,04/05/2024,Standard,399,11.3,2,0,31,16,No
104,05/06/2023,Basic,199,10.3,1,4,5,40,No
105,12/09/2024,Basic,199,2.6,3,0,20,35,No
106,25/08/2024,Premium,699,19.5,6,3,15,58,Yes
107,01/08/2023,Standard,399,14.4,0,4,20,47,Yes
108,18/03/2023,Premium,699,7,1,1,14,15,No
109,24/12/2024,Basic,199,10.5,7,2,1,2,Yes
110,26/08/2024,Standard,399,2.2,3,2,30,50,Yes
111,30/09/2023,Premium,699,10.9,8,1,13,41,Yes
112,23/10/2023,Basic,199,2,4,4,5,47,Yes
113,27/05/2024,Standard,399,12,4,5,8,25,No
114,14/09/2023,Premium,699,11.2,0,3,32,47,Yes
115,11/02/2023,Basic,199,6.1,0,5,6,52,Yes
116,22/03/2024,Basic,199,13.2,7,2,31,11,No
117,17/11/2024,Premium,699,24.2,7,2,32,26,Yes
118,17/07/2024,Basic,199,8.6,7,2,11,42,No
119,18/02/2024,Basic,199,2.7,4,2,30,7,No
120,14/06/2024,Premium,699,16.6,8,3,1,26,Yes
121,22/10/2023,Standard,399,15.8,0,1,32,17,No
122,15/01/2023,Standard,399,3.5,3,5,32,10,Yes
123,07/06/2023,Premium,699,2.8,1,3,27,60,Yes
124,28/04/2024,Standard,399,13,4,3,19,53,Yes
125,20/05/2023,Basic,199,14,6,1,30,58,No
126,01/10/2023,Basic,199,19.4,6,2,18,59,No
127,20/12/2023,Basic,199,18.3,7,1,19,28,No
128,13/07/2023,Standard,399,19.2,6,3,36,59,Yes
129,29/04/2024,Premium,699,14.5,3,3,16,2,Yes
130,27/08/2024,Premium,699,10,2,3,25,2,Yes
131,16/01/2023,Standard,399,21.9,7,0,7,33,No
132,29/09/2023,Premium,699,10.5,2,0,10,30,No
133,21/11/2023,Standard,399,16.4,5,5,26,54,Yes
134,01/12/2024,Premium,699,21.9,0,4,32,4,Yes
135,13/04/2023,Standard,399,18.8,6,0,15,48,No
136,28/10/2023,Standard,399,17.5,0,0,11,20,No
137,04/07/2023,Standard,399,11.1,3,4,24,26,Yes
138,20/08/2024,Basic,199,2.4,6,4,12,43,Yes
139,21/04/2024,Basic,199,11.8,4,3,15,16,No
140,10/03/2024,Standard,399,4.4,7,2,35,37,Yes
141,20/04/2023,Premium,699,11.7,4,1,17,24,No
